Year,Name,Movie,Odds,Winner
1974,Jack Lemmon,Save the Tiger,3,TRUE
1974,Robert Redford,The Sting,4,FALSE
1974,Jack Nicholson,The Last Detail,5,FALSE
1974,Al Pacino,Serpico,6,FALSE
1974,Marlon Brando,Last Tango in Paris,21,FALSE
1975,Art Carney,Harry and Tonto,3,TRUE
1975,Jack Nicholson,Chinatown,2.8,FALSE
1975,Al Pacino,The Godfather Part II,5,FALSE
1975,Dustin Hoffman,Lenny,7,FALSE
1975,Albert Finney,Murder on the Orient Express,16,FALSE
1976,Jack Nicholson,One Flew Over the Cuckoo's Nest,2,TRUE
1976,Al Pacino,Dog Day Afternoon,4,FALSE
1976,Walter Matthau,The Sunshine Boys,5,FALSE
1976,James Whitmore,"Give 'em Hell, Harry",16,FALSE
1976,Maximilian Schell,The Man in the Glass Booth,16,FALSE
1978,Richard Dreyfuss,Goodbye Girl,3,TRUE
1978,Richard Burton,Equus,2.2,FALSE
1978,John Travolta,Saturday Night Fever,4,FALSE
1978,Woody Allen,Annie Hall,9,FALSE
1978,Marcello Mastroianni,A Special Day,21,FALSE
1981,Robert DeNiro,Raging Bull,2.2,TRUE
1981,Jack Lemmon,Tribute,2.4,FALSE
1981,Peter O'Toole,The Stunt Man,9,FALSE
1981,Robert Duvall,The Great Santini,21,FALSE
1981,John Hurt,The Elephant Man,21,FALSE
1983,Ben Kingsley,Ghandi,2.2,TRUE
1983,Paul Newman,The Verdict,3,FALSE
1983,Dustin Hoffman,Tootsie,6,FALSE
1983,Jack Lemmon,Missing,9,FALSE
1983,Peter O'Toole,My Favorite Year,10,FALSE
1984,Robert Duvall,Tender Mercies,2.5,TRUE
1984,Tom Conti,"Reuben, Reuben",4,FALSE
1984,Michael Caine,Educating Rita,5,FALSE
1984,Albert Finney,The Dresser,8,FALSE
1984,Tom Courtenay,The Dresser,10,FALSE
1985,F. Murray Abraham,Amadeus,2.2,TRUE
1985,Albert Finney,Under the Volcano,2.4,FALSE
1985,Sam Waterston,The Killing Fields,2.6,FALSE
1985,Jeff Bridges,Starman,5,FALSE
1985,Tom Hulce,Amadeus,5,FALSE
1986,William Hurt,Kiss of the Spider Woman,2.4,TRUE
1986,Jack Nicholson,Prizzi's Honor,2.2,FALSE
1986,Harrison Ford,Witness,2.6,FALSE
1986,Jon Voight,Runaway Train,6,FALSE
1986,James Garner,Murphy's Romance,11,FALSE
1987,Paul Newman,The Color of Money,2,TRUE
1987,Bob Hoskins,Mona Lisa,2,FALSE
1987,William Hurt,Children of a Lesser God,4,FALSE
1987,Dexter Gordon,Round Midnight,6,FALSE
1987,James Woods,Salvador,11,FALSE
1988,Michael Douglas,Wall Street,1.714285714,TRUE
1988,Marcello Mastroianni,Dark Eyes,4,FALSE
1988,William Hurt,Broadcast News,4,FALSE
1988,Jack Nicholson,Ironweed,7,FALSE
1988,Robin Williams,Good Morning Vietnam,7,FALSE
1989,Dustin Hoffman,Rain Man,1.5,TRUE
1989,Gene Hackman,Mississippi Burning,6,FALSE
1989,Tom Hanks,Big,6,FALSE
1989,James Edward Olmos,Stand and Deliver,7,FALSE
1989,Max von Sydow,Pelle the Conqueror,11,FALSE
1990,Daniel Day-Lewis,My Left Foot,3,TRUE
1990,Morgan Freeman,Driving Miss Daisy,2.6,FALSE
1990,Tom Cruise,Born on the Fourth of July,3,FALSE
1990,Kenneth Branagh,Henry V,11,FALSE
1990,Robin WIlliams,Dead Poets Society,21,FALSE
1991,Jeremy Irons,Reversal of Fortune,3.5,TRUE
1991,Robert DeNiro,Awakenings,3.5,FALSE
1991,Gerard Depardieu,Cyrano de Bergerac,3.5,FALSE
1991,Kevin Costner,Dances With Wolves,4.5,FALSE
1991,Richard Harris,The Field,6,FALSE
1992,Anthony Hopkins,The Silence of the Lambs,3.5,TRUE
1992,Nick Nolte,The Prince of Tides,2.2,FALSE
1992,Warren Beatty,Bugsy,5,FALSE
1992,Robin Williams,The Fisher King,7,FALSE
1992,Robert DeNiro,Cape Fear,7,FALSE
1993,Al Pacino,Scent of a Woman,1.598802395,TRUE
1993,Clint Eastwood,Unforgiven,5,FALSE
1993,Denzel Washington,Malcolm X,7,FALSE
1993,Robert Downey Jr,Chaplin,9,FALSE
1993,Stephen Rea,Howards End,9,FALSE
1994,Tom Hanks,Philadelphia,2,TRUE
1994,Daniel Day-Lewis,In the Name of the Father,4,FALSE
1994,Laurence Fishburne,What's Love Got to Do with It?,21,FALSE
1994,Anthony Hopkins,The Remains of the Day,4.5,FALSE
1994,Liam Neeson,Schindler's List,5,FALSE
1995,Tom Hanks,Forrest Gump,1.2,TRUE
1995,John Travolta,Pulp Fiction,9,FALSE
1995,Nigel Hawthorne,The Madness of King George,11,FALSE
1995,Paul Newman,Nobody's Fool,11,FALSE
1995,Morgan Freeman,The Shawshank Redemption,13,FALSE
1996,Nicolas Cage,Leaving Las Vegas,1.333333333,TRUE
1996,Sean Penn,Dead Man Walking,7,FALSE
1996,Anthony Hopkins,Nixon,8,FALSE
1996,Richard Dreyfuss,Mr Holland's Opus,13,FALSE
1996,Massimo Troisi,Il Postino,16,FALSE
1997,Geoffrey Rush,Shine,1.5,TRUE
1997,Tom Cruise,Jerry Maguire,4,FALSE
1997,Ralph Fiennes,The English Patient,8,FALSE
1997,Woody Harrelson,The People vs Larry Flynt,11,FALSE
1997,Billy Bob Thornton,Slingblade,13,FALSE
1998,Jack Nicholson,As Good as it Gets,1.5,TRUE
1998,Matt Damon,Good Will Hunting,19,FALSE
1998,Robert Duvall,The Apostle,5.5,FALSE
1998,Peter Fonda,Ulee's Gold,4,FALSE
1998,Dustin Hoffman,Wag the Dog,26,FALSE
1999,Roberto Benigni,Life is Beautiful,3.5,TRUE
1999,Tom Hanks,Saving Private Ryan,3.5,FALSE
1999,Ian McKellen,Gods and Monsters,4,FALSE
1999,Nick Nolte,Affliction,2.6,FALSE
1999,Edward Norton,American History X,26,FALSE
2000,Kevin Spacey,American Beauty,1.625,TRUE
2000,Russell Crowe,The Insider,7,FALSE
2000,Richard Farnsworth,The Straight Story,16,FALSE
2000,Sean Penn,Sweet and Lowdown,11,FALSE
2000,Denzel Washington,The Hurricane,3,FALSE
2001,Russell Crowe,Gladiator,1.666666667,TRUE
2001,Tom Hanks,Castaway,2.2,FALSE
2001,Javier Bardem,Before Night Falls,26,FALSE
2001,Ed Harris,Pollock,9,FALSE
2001,Geoffrey Rush,Quills,26,FALSE
2003,Adrien Brody,The Pianist,9,TRUE
2003,Nicolas Cage,Adaptation,16,FALSE
2003,Michael Caine,The Quiet American,11,FALSE
2003,Daniel Day-Lewis,Gangs of New York,2.2,FALSE
2003,Jack Nicholson,About Schmidt,2,FALSE
2004,Sean Penn,Mystic River,2.6,TRUE
2004,Bill Murray,Lost in Translation,2.75,FALSE
2004,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,2.8,FALSE
2004,Ben Kingsley,House of Sand and Fog,51,FALSE
2004,Jude Law,Cold Mountain,101,FALSE
2006,Philip Seymour Hoffman,Capote,1.5,TRUE
2006,Terrence Howard,Hustle & Flow,9,FALSE
2006,Heath Ledger,Brokeback Mountain,3.5,FALSE
2006,Joaquin Phoenix,Walk the Line,11,FALSE
2006,David Strathairn,"Good Night, and Good Luck.",21,FALSE
2009,Sean Penn,Milk,3,TRUE
2009,Mickey Rourke,The Wrestler,2,FALSE
2009,Frank Langella,Frost/Nixon,9,FALSE
2009,Brad Pitt,The Curious Case of Benjamin Button,13,FALSE
2009,Richard Jenkins,The Visitor,16,FALSE
2010,Jeff Bridges,Crazy Heart,1.117647059,TRUE
2010,George Clooney,Up in the Air,10,FALSE
2010,Morgan Freeman,Invictus,13,FALSE
2010,Colin Firth,A Single Man,15,FALSE
2010,Jeremy Renner,The Hurt Locker,15,FALSE
2011,Colin Firth,The King's Speech,1.02,TRUE
2011,James Franco,127 Hours,21,FALSE
2011,Jeff Bridges,True Grit,21,FALSE
2011,Jesse Eisenberg,The Social Network,26,FALSE
2011,Javier Bardem,Biutiful,31,FALSE
2012,Jean Dujardin,The Artist,1.714285714,TRUE
2012,George Clooney,The Descendants,2.2,FALSE
2012,Brad Pitt,Moneyball,16,FALSE
2012,Gary Oldman,Tinker Tailor Soldier Spy,26,FALSE
2012,Demián Bichir,A Better Life,51,FALSE
2013,Daniel Day-Lewis,Lincoln,1.01,TRUE
2013,Hugh Jackman,Les Miserables,10,FALSE
2013,Bradley Cooper,Silver Linings Playbook,26,FALSE
2013,Joaquin Phoenix,The Master,26,FALSE
2013,Denzel Washington,Flight,34,FALSE
2014,Matthew McConaughey,Dallas Buyers Club,1.149925037,TRUE
2014,Leonardo DiCaprio,The Wolf of Wall Street,4,FALSE
2014,Chiwetel Ejiofor,Twelve Years a Slave,11,FALSE
2014,Bruce Dern,Nebraska,51,FALSE
2014,Christian Bale,American Hustle,67,FALSE
2015,Eddie Redmayne,The Theory of Everything,1.285714286,TRUE
