Year,Name,Movie,Odds,Winner
1974,Glenda Jackson,A Touch of Class,9,TRUE
1974,Ellen Burstyn,The Exorcist,3.5,FALSE
1974,Joanne Woodward,"Summer Wishes, Winter Dreams",3.5,FALSE
1974,Marsha Mason,Cinderella Liberty,3.5,FALSE
1974,Barbra Steisand,The Way We Were,6,FALSE
1975,Ellen Burstyn,Alice Doesn't Live Here Anymore,8,TRUE
1975,Faye Dunaway,Chinatown,3,FALSE
1975,Gena Rowlands,A Woman Under the Influence,3.5,FALSE
1975,Valerie Perrine,Lenny,4,FALSE
1975,Diahann Carrol,Claudine,13,FALSE
1976,Louise Fletcher,One Flew Over the Cuckoo's Nest,3,TRUE
1976,Glenda Jackson,Hedda,4,FALSE
1976,Ann-Margaret,Tommy,5,FALSE
1976,Isabelle Adjani,The Story of Adele H,5,FALSE
1976,Carol Kane,Hester Street,11,FALSE
1978,Diane Keaton,Annie Hall,3,TRUE
1978,Shirley McLaine,Turning Point,3.4,FALSE
1978,Jane Fonda,Julia,3.4,FALSE
1978,Anne Bancroft,Turning Point,4,FALSE
1978,Marsha Mason,Goodbye Girl,9,FALSE
1981,Sissy Spacek,Coal Miner's Daughter,2.4,TRUE
1981,Ellen Burstyn,Resurrection,3,FALSE
1981,Mary Tyler Moore,Ordinay People,3,FALSE
1981,Goldie Hawn,Private Benjamin,11,FALSE
1981,Gena Rowlands,Gloria,11,FALSE
1983,Meryl Streep,Sophie's Choice,2.2,TRUE
1983,Jessica Lange,Frances,4,FALSE
1983,Sissy Spacek,Missing,9,FALSE
1983,Julie Andrews,Victor/Victoria,9,FALSE
1983,Debra Winger,An Officer and a Gentleman,10,FALSE
1984,Shirley McLaine,Terms of Endearment,4,TRUE
1984,Jane Alexander,Testament,5,FALSE
1984,Meryl Streep,Silkwood,4.5,FALSE
1984,Julie Walters,Educating Rita,4.5,FALSE
1984,Debra Winger,Terms of Endearment,13,FALSE
1985,Sally Field,Places in the Heart,2.6,TRUE
1985,Judy Davis,A Passage to India,2.2,FALSE
1985,Sissy Spacek,The River,2.4,FALSE
1985,Jessica Lange,Country,2.6,FALSE
1985,Vanessa Redgrave,The Bostonians,6,FALSE
1986,Geraldine Page,The Trip to Bountiful,2.2,TRUE
1986,Meryl Streep,Out of Africa,2.4,FALSE
1986,Whoopi Goldberg,The Color Purple,2.4,FALSE
1986,Jessica Lange,Sweet Dreams,2.6,FALSE
1986,Anne Bancroft,Agnes of God,6,FALSE
1987,Marlee Matlin,Children of a Lesser God,2.2,TRUE
1987,Kathleen Turner,Peggy Sue Got Married,2.4,FALSE
1987,Jane Fonda,The Morning After,5,FALSE
1987,Sissy Spacek,Crimes of the Heart,5,FALSE
1987,Sigourney Weaver,Aliens,11,FALSE
1988,Cher,Moonstruck,2.5,TRUE
1988,Holly Hunter,Broadcast News,3,FALSE
1988,Sally Kirkland,Anna,4,FALSE
1988,Glenn Close,Fatal Attraction,9,FALSE
1988,Meryl Streep,Ironweed,11,FALSE
1989,Jodie Foster,The Accused,3.5,TRUE
